iter,acc,nmi,ari,f1_macro,f1_micro,precision_macro,precision_micro,acc_unconf,nmi_unconf,acc_conf,nmi_conf,nb_unconf,nb_conf,loss_recons,loss_clus,loss,nb_l,nb_f_l,nb_t_l,nb_added_link_unconf_unconf,nb_false_added_link_unconf_unconf,nb_true_added_link_unconf_unconf,nb_deleted_link_unconf_unconf,nb_false_deleted_link_unconf_unconf,nb_true_deleted_link_unconf_unconf
16,0.6491859816402089,0.2267985360872171,0.22447387474573485,0.6425538440719639,0.6491859816402089,0.6518459954974073,0.6491859816402089,0.7710596433695429,0.43215780540088417,0.5297720654684205,0.09641153537566635,9758,9959,96.88347,6.665969,103.54944,0,0,0,0,0,0,0,0,0
17,0.6492874169498403,0.22595050925013963,0.22379566117498836,0.6429975860100254,0.6492874169498403,0.6518850538836739,0.6492874169498403,0.7712646034023365,0.43161792758984074,0.5297720654684205,0.0945802949653731,9758,9959,96.81399,6.5865955,103.40058,0,0,0,0,0,0,0,0,0
18,0.6533955469899072,0.23079696355525012,0.229634641436149,0.6470463389389813,0.6533955469899072,0.6553542286153058,0.6533955469899072,0.7703422832547653,0.43096408185353585,0.5388091173812631,0.10134928090079107,9758,9959,96.56452,6.5106616,103.07518,0,0,0,0,0,0,0,0,0
19,0.6567429122077395,0.23372340377400386,0.23533062193681914,0.6505100715454316,0.6567429122077395,0.6568350668783574,0.6567429122077395,0.7710596433695429,0.43095345144571123,0.5447334069685711,0.10393806559431738,9758,9959,96.438805,6.454185,102.89299,0,0,0,0,0,0,0,0,0
20,0.6622711365826445,0.23924320134078303,0.24248009363918083,0.6566687889916968,0.6622711365826445,0.6614792217213328,0.6622711365826445,0.7731836975782634,0.4391487598911613,0.5444084109216445,0.10361025120315047,10158,9559,96.31423,6.327581,102.641815,0,0,0,0,0,0,0,0,0
21,0.6621189836181975,0.23860922112399202,0.24273367868270154,0.6566048014654374,0.6621189836181975,0.6607327369426746,0.6621189836181975,0.7724945855483363,0.4340420215655047,0.5448268647348049,0.10342826312355714,10158,9559,96.286934,6.3054647,102.5924,0,0,0,0,0,0,0,0,0
22,0.6650098899426891,0.24319224013816562,0.24696635696242838,0.6596882337916737,0.6650098899426891,0.6630671438225701,0.6650098899426891,0.7720023626698169,0.4344445190027256,0.5513128988387906,0.10929456770070743,10158,9559,96.15448,6.2139273,102.36841,0,0,0,0,0,0,0,0,0
23,0.6659228077293706,0.24489249558294401,0.25013199708974426,0.6595645229916115,0.6659228077293706,0.6638521519149273,0.6659228077293706,0.7726914746997441,0.4363821395411643,0.5524636468249817,0.11117297736459104,10158,9559,96.07354,6.1340003,102.20754,0,0,0,0,0,0,0,0,0
24,0.6696251965309125,0.24762576265304365,0.25502560698789384,0.6628598989280218,0.6696251965309125,0.6672478869940339,0.6696251965309125,0.7736759204567828,0.43699547475439454,0.5590542943822575,0.113567353391982,10158,9559,95.97053,6.0379987,102.00853,0,0,0,0,0,0,0,0,0
25,0.6733275853324542,0.2517431955411988,0.2611242839742702,0.6663228687554826,0.6733275853324542,0.6700124621836623,0.6733275853324542,0.7667720407446434,0.4272034882008428,0.5455636931204226,0.10055789391077523,11388,8329,95.908295,6.2458925,102.15419,0,0,0,0,0,0,0,0,0
26,0.6740883501546888,0.2532887532617714,0.26333026641705154,0.6670486555152597,0.6740883501546888,0.6698270012426745,0.6740883501546888,0.7662451703547594,0.4197380442176823,0.5480850042021851,0.10436138932230282,11388,8329,95.778366,6.2875524,102.06592,0,0,0,0,0,0,0,0,0
27,0.6806816452807222,0.26175429299542863,0.27430832350208306,0.6738922515158062,0.6806816452807222,0.6749765109308491,0.6806816452807222,0.7671232876712328,0.42390478233736884,0.5624924960979709,0.11402802698512363,11388,8329,95.607346,6.256762,101.864105,0,0,0,0,0,0,0,0,0
28,0.6821524572703758,0.2647032754531934,0.27814387527164575,0.6753827886967761,0.6821524572703758,0.67552856126562,0.6821524572703758,0.7663329820864068,0.4229107007722955,0.5670548685316364,0.11862184688122443,11388,8329,95.49026,6.2332687,101.723526,0,0,0,0,0,0,0,0,0
29,0.6887457523964092,0.2737031510799345,0.2903090992046042,0.6817326974908702,0.6887457523964092,0.6807509210923381,0.6887457523964092,0.7678257815244116,0.42461004972480754,0.580621923400168,0.12989264468585618,11388,8329,95.29288,6.2097206,101.502594,0,0,0,0,0,0,0,0,0
30,0.6889486230156717,0.27235802265451736,0.2911082921634522,0.6818427638663339,0.6889486230156717,0.6803310840690818,0.6889486230156717,0.7675817658024063,0.4313254940842192,0.5716993051168667,0.11557986233927321,11802,7915,95.19703,6.220138,101.41717,0,0,0,0,0,0,0,0,0
31,0.6930060354009231,0.2786521651706121,0.2978246616154788,0.6858263321944147,0.6930060354009231,0.6841331896542436,0.6930060354009231,0.7679206914082359,0.424630389017804,0.5813013265950726,0.1265714638036565,11802,7915,95.09142,6.2632866,101.354706,0,0,0,0,0,0,0,0,0
32,0.7001572247299285,0.28929939478582006,0.311426723560811,0.6923992583884404,0.7001572247299285,0.6905724147214211,0.7001572247299285,0.7679206914082359,0.4247755112160329,0.5991156032849021,0.1446678918721964,11802,7915,94.99301,6.215188,101.2082,0,0,0,0,0,0,0,0,0
33,0.6976720596439621,0.287455136186431,0.30877779809001554,0.6900438682324884,0.6976720596439621,0.6880617576598679,0.6976720596439621,0.7663107947805456,0.4221716865845712,0.5953253316487681,0.14300277338311917,11802,7915,94.90527,6.1699905,101.075264,0,0,0,0,0,0,0,0,0
34,0.6988385657047218,0.28838481232946567,0.3104818976773276,0.6910122330685337,0.6988385657047218,0.6891176077207688,0.6988385657047218,0.768174885612608,0.4266410919073648,0.5954516740366393,0.14180752318609152,11802,7915,94.79824,6.1219897,100.92023,0,0,0,0,0,0,0,0,0
35,0.7019830603032916,0.2943173125374383,0.31702264818542825,0.6938125215302918,0.7019830603032916,0.6916624683235182,0.7019830603032916,0.7707874682472481,0.43779471134463804,0.5992158846591628,0.14602040113621317,11810,7907,94.690865,6.072936,100.7638,0,0,0,0,0,0,0,0,0
36,0.7009687072069788,0.29155723958764984,0.31518135307434886,0.693144057633288,0.7009687072069788,0.6911089694313622,0.7009687072069788,0.7679932260795935,0.4246583092134212,0.6008599974705957,0.14739848415676543,11810,7907,94.59681,6.1151404,100.71195,0,0,0,0,0,0,0,0,0
37,0.7059390373789116,0.3007001045865927,0.324350233276611,0.6982528151597834,0.7059390373789116,0.6957812234078595,0.7059390373789116,0.7720575783234547,0.4328300930642593,0.6071835082837992,0.15516109238661863,11810,7907,94.51645,6.0869317,100.60338,0,0,0,0,0,0,0,0,0
38,0.7036060252573921,0.2976237814668067,0.32073263335822155,0.6960685038900575,0.7036060252573921,0.6935579997853322,0.7036060252573921,0.7693480101608806,0.4303450958283226,0.6054129252561022,0.15249775418843323,11810,7907,94.39791,6.064377,100.46229,0,0,0,0,0,0,0,0,0
39,0.7063447786174367,0.3019707855347979,0.32570566468696394,0.6987130661881557,0.7063447786174367,0.6959940892396917,0.7063447786174367,0.7707874682472481,0.4320114840373171,0.6100923232578728,0.15818894373356032,11810,7907,94.29994,6.035311,100.33525,0,0,0,0,0,0,0,0,0
40,0.7061926256529898,0.29934321460284874,0.3247439009880952,0.6985557197022952,0.7061926256529898,0.6957515403832435,0.7061926256529898,0.771609098567818,0.43786305135608905,0.6072384350707276,0.14699893253802299,11870,7847,94.21205,5.873988,100.08604,0,0,0,0,0,0,0,0,0
41,0.7115179794086322,0.30882084119598147,0.3348452704701506,0.7037329784343248,0.7115179794086322,0.7009469115697486,0.7115179794086322,0.7740522325189554,0.4372682197939026,0.6169236650949408,0.16098536623525117,11870,7847,94.127365,5.9155726,100.04294,0,0,0,0,0,0,0,0,0
42,0.7073591317137495,0.3038161692264038,0.32832973083382905,0.6997351890215602,0.7073591317137495,0.6972861825663045,0.7073591317137495,0.7708508845829823,0.4318025018721284,0.61131642665987,0.15636978760316034,11870,7847,94.02355,5.8871403,99.91069,0,0,0,0,0,0,0,0,0
43,0.7076634376426434,0.3056459942190445,0.32944340921487003,0.6999354154234217,0.7076634376426435,0.6973256883846624,0.7076634376426434,0.7712721145745577,0.4330299248351059,0.6114438638970308,0.15880937649315738,11870,7847,93.94784,5.864387,99.812225,0,0,0,0,0,0,0,0,0
44,0.7099457321093473,0.30719877751965813,0.33232745486661597,0.7025881288320445,0.7099457321093473,0.6995435290464586,0.7099457321093473,0.7713563605728728,0.4325123253846416,0.6170511023321015,0.15981292293635144,11870,7847,93.8561,5.836316,99.69242,0,0,0,0,0,0,0,0,0
45,0.7083734848100623,0.3041540427341805,0.32907084012400295,0.7010089505154801,0.7083734848100623,0.6980767880243802,0.7083734848100623,0.7723413198823035,0.4405901293848099,0.6110969061621069,0.1511729503352636,11895,7822,93.778076,5.7257175,99.50379,0,0,0,0,0,0,0,0,0
46,0.7124816148501293,0.3126147883289731,0.33666443595140527,0.7052335263724784,0.7124816148501293,0.7023287455833204,0.7124816148501293,0.771416561580496,0.434815259075207,0.6228586039376118,0.16826471789524608,11895,7822,93.70723,5.748885,99.456116,0,0,0,0,0,0,0,0,0
47,0.7099964497641629,0.3071354021729582,0.33162369892072346,0.7030448226699392,0.7099964497641629,0.7001466577938492,0.7099964497641629,0.7712484237074401,0.4324854489646468,0.6168499105088213,0.1591579113024324,11895,7822,93.6526,5.723375,99.37598,0,0,0,0,0,0,0,0,0
48,0.7122280265760511,0.30902822376520994,0.335392007846818,0.7049637223145727,0.7122280265760511,0.7019201172302649,0.7122280265760511,0.7730138713745272,0.43585388867367797,0.6197903349526975,0.15930631333962958,11895,7822,93.62757,5.6967483,99.32432,0,0,0,0,0,0,0,0,0
49,0.7134452502916265,0.3116812419145416,0.3379063688167508,0.706224097191695,0.7134452502916265,0.7030931265022137,0.7134452502916265,0.7721731820092476,0.43353383790467825,0.6241370493479929,0.16581110273255376,11895,7822,93.53545,5.67858,99.214035,0,0,0,0,0,0,0,0,0
50,0.7141552974590455,0.31192573436212795,0.33831004212805665,0.7070461903541368,0.7141552974590455,0.7037574001029969,0.7141552974590455,0.7635051226327227,0.4252348075711254,0.6211034684618761,0.1532379078817213,12884,6833,93.42355,5.767421,99.19097,0,0,0,0,0,0,0,0,0
51,0.711264391134554,0.3075296615839808,0.3328071149501184,0.7045246360335732,0.7112643911345541,0.7013368534014192,0.711264391134554,0.7638932008692952,0.41699308219895875,0.6120298551148836,0.1475957028047545,12884,6833,93.378,5.798334,99.17633,0,0,0,0,0,0,0,0,0
52,0.7129887913982857,0.3113474672392729,0.3363023670198372,0.7062685626262656,0.7129887913982857,0.7031984804866377,0.7129887913982857,0.7636603539273518,0.4177478837622296,0.617444753402605,0.15351747925350887,12884,6833,93.28618,5.774661,99.06084,0,0,0,0,0,0,0,0,0
53,0.7149667799360958,0.3111722210497204,0.3384822620867794,0.7081237343509693,0.7149667799360958,0.7047310623033197,0.7149667799360958,0.7628841974542068,0.4158416852549431,0.6246158349187765,0.15528571695530613,12884,6833,93.19698,5.7532377,98.95022,0,0,0,0,0,0,0,0,0
54,0.7158289800679617,0.3124240235573093,0.33939392521110184,0.7093739786765955,0.7158289800679617,0.7057913893186974,0.7158289800679617,0.7629618131015212,0.41469482618696196,0.6269574125567101,0.1566805457331445,12884,6833,93.19794,5.7317057,98.92964,0,0,0,0,0,0,0,0,0
55,0.7159304153775929,0.3118211563483595,0.3394814496576883,0.7092512520716442,0.7159304153775928,0.7057642791563589,0.7159304153775929,0.7652902825209562,0.41801251852878124,0.6228596516903263,0.1534422215068851,12884,6833,93.05799,5.714655,98.772644,0,0,0,0,0,0,0,0,0
56,0.7175533803316935,0.31405350374496277,0.3417395452216783,0.7110910437784624,0.7175533803316935,0.7075380967069154,0.7175533803316935,0.7646693573424402,0.4179573318050656,0.6287135957851603,0.157872611465002,12884,6833,93.00218,5.6782174,98.6804,0,0,0,0,0,0,0,0,0
57,0.7166404625450119,0.31241348167320215,0.34054216639012486,0.7100607336880583,0.716640462545012,0.7066866235792961,0.7166404625450119,0.7634275069854083,0.41510730552317004,0.6284208985804186,0.1573076926689674,12884,6833,92.97483,5.652622,98.62746,0,0,0,0,0,0,0,0,0
58,0.7175533803316935,0.3129705048630989,0.3420679143652311,0.7108433226094837,0.7175533803316935,0.7072593309875401,0.7175533803316935,0.7645917416951258,0.41573967816610713,0.6288599443875311,0.157427305010918,12884,6833,92.873825,5.636223,98.51005,0,0,0,0,0,0,0,0,0
