iter,acc,delta_fr,delta_fr_new
4,0.6373180504133489,0.80165,0.75907
9,0.6229142364457068,0.71505,0.78404
14,0.6344778617436729,0.71747,0.82239
19,0.6403611097022873,0.69879,0.81084
24,0.6377745093066897,0.70464,0.7753
29,0.636455850281483,0.74764,0.73925
34,0.6368615915200081,0.77243,0.74635
39,0.6325505908606786,0.75139,0.75303
44,0.6372166151037176,0.70863,0.75289
49,0.6419333570015723,0.67063,0.7595
54,0.6462443576609017,0.67577,0.7581
59,0.6486280874372369,0.71241,0.73598
64,0.6489831110209464,0.75896,0.72283
69,0.6492366992950246,0.79064,0.72881
74,0.6492874169498403,0.79403,0.72082
79,0.6535476999543541,0.77305,0.69879
84,0.6547649236699296,0.74022,0.70027
89,0.6561850180047675,0.71417,0.69208
94,0.6624232895470913,0.71591,0.68927
99,0.6649591722878734,0.74375,0.68653
104,0.6647055840137952,0.76285,0.68443
109,0.6692701729472029,0.77464,0.67804
114,0.6681543845412589,0.76932,0.66667
119,0.6710452908657504,0.74838,0.6493
124,0.6783993508140184,0.72029,0.66138
129,0.6824567631992696,0.70891,0.68838
134,0.6826089161637166,0.70807,0.66732
139,0.68722422275194,0.71674,0.6476
144,0.6919916823046103,0.73769,0.65234
149,0.6939696708424202,0.74738,0.66136
154,0.6941725414616828,0.73694,0.65855
159,0.6998529188010346,0.72428,0.6425
164,0.7044175077344423,0.70603,0.65169
169,0.7007151189329005,0.7081,0.6693
174,0.7016787543743978,0.72621,0.67212
179,0.704468225389258,0.73657,0.66385
184,0.7063447786174367,0.7361,0.63574
189,0.707308414058934,0.73829,0.64462
194,0.7111629558249226,0.73498,0.67412
199,0.7076127199878277,0.72751,0.67926
204,0.7078155906070903,0.73071,0.6732
209,0.7099457321093473,0.74573,0.66507
214,0.7071055434396714,0.76277,0.70198
219,0.711822285337526,0.76496,0.71944
224,0.7107572145863975,0.75505,0.70284
229,0.7121773089212354,0.74467,0.6923
234,0.711112238170107,0.75553,0.69846
239,0.7156261094486991,0.77168,0.7195
244,0.715778262413146,0.78737,0.73123
249,0.7149160622812801,0.78378,0.71149
254,0.7148653446264644,0.778,0.72005
259,0.7194299335598722,0.7721,0.73488
264,0.7175026626768778,0.77246,0.72666
269,0.7187198863924532,0.77369,0.72694
274,0.7176548156413247,0.78009,0.71323
279,0.7181112745346655,0.78369,0.74539
284,0.718466298118375,0.78885,0.75856
289,0.7209514632043414,0.7837,0.74986
294,0.7221179692651012,0.77864,0.7414
299,0.7232337576710453,0.77779,0.76817
304,0.7256174874473804,0.78198,0.77369
309,0.7220165339554699,0.77816,0.77731
314,0.7269361464725871,0.77339,0.76802
319,0.72597251103109,0.77405,0.77055
324,0.7279504995688999,0.78223,0.78279
329,0.7247045696606988,0.77817,0.79582
334,0.7233351929806766,0.77587,0.80039
339,0.7269361464725871,0.76868,0.7929
344,0.7292691585941066,0.75875,0.7843
349,0.7305370999644977,0.76568,0.80184
354,0.7280519348785313,0.77448,0.80975
359,0.7294720292133692,0.76189,0.8071
364,0.7304356646548663,0.75768,0.7677
369,0.7293705939037379,0.75618,0.77355
374,0.7309428412030228,0.75944,0.79649
379,0.7295734645230004,0.75184,0.79435
384,0.735152406552721,0.74494,0.78546
389,0.7308414058933915,0.73884,0.77812
394,0.7354567124816148,0.74829,0.78658
399,0.734442359385302,0.75517,0.79936
404,0.7354567124816148,0.74759,0.79297
409,0.7341887711112238,0.74256,0.77987
414,0.7368260891616372,0.74587,0.79675
419,0.7346959476593802,0.74364,0.81219
424,0.7380940305320282,0.73467,0.80106
429,0.7370289597808998,0.73438,0.78905
434,0.7411878074757823,0.73723,0.80195
439,0.7395141248668662,0.74037,0.80371
444,0.7369275244712684,0.73813,0.80275
449,0.7367246538520059,0.73686,0.80366
454,0.7392098189379723,0.73033,0.80687
459,0.739108383628341,0.72643,0.80181
464,0.7392098189379723,0.73185,0.80913
469,0.7377390069483187,0.73166,0.79095
474,0.7386519247350003,0.72875,0.79427
479,0.7395141248668662,0.72708,0.79243
484,0.7403256073439164,0.72561,0.80138
489,0.7401734543794695,0.72901,0.80503
494,0.7382969011512908,0.72378,0.79212
499,0.7344930770401177,0.72235,0.79198
504,0.7389055130090785,0.71645,0.78262
509,0.7399198661053913,0.72268,0.79434
514,0.7377390069483187,0.73186,0.81236
519,0.7388547953542628,0.73115,0.81543
524,0.7370796774357153,0.7236,0.804
529,0.7386012070801846,0.71611,0.79555
534,0.7398691484505756,0.7194,0.79825
539,0.7382969011512908,0.72165,0.80305
544,0.7392098189379723,0.73054,0.81648
549,0.7365217832327433,0.72641,0.80985
554,0.7382969011512908,0.71936,0.81042
559,0.7404777603083633,0.71667,0.79926
564,0.737688289293503,0.721,0.81022
569,0.7381954658416595,0.73006,0.8214
574,0.7353045595171679,0.73358,0.80434
579,0.7393619719024193,0.72821,0.79466
584,0.7353552771719836,0.71835,0.78863
589,0.7367246538520059,0.71627,0.78439
594,0.7377390069483187,0.7169,0.78874
599,0.737282548054978,0.72189,0.79735
604,0.7389562306638942,0.72216,0.80243
609,0.7369275244712684,0.7247,0.79952
614,0.7363696302682964,0.72758,0.79294
619,0.7381447481868438,0.72298,0.79222
624,0.7370796774357153,0.7211,0.79436
629,0.7354567124816148,0.72029,0.80093
634,0.7366739361971902,0.71718,0.80195
639,0.7376375716386874,0.71874,0.79879
644,0.7364203479231121,0.72604,0.79597
649,0.7352538418623523,0.72559,0.80214
654,0.7374854186742406,0.72121,0.80345
659,0.7348988182786428,0.72599,0.80587
664,0.7353552771719836,0.72242,0.80591
669,0.7352031242075366,0.72005,0.80227
674,0.7355074301364305,0.72362,0.80535
679,0.7377897246031343,0.72552,0.80678
684,0.7372318304001623,0.72752,0.81112
689,0.7342902064208551,0.72882,0.79703
694,0.7366232185423746,0.72256,0.79209
699,0.7380940305320282,0.72089,0.7903
704,0.736572500887559,0.71816,0.78614
709,0.7345945123497489,0.71894,0.78806
714,0.7366739361971902,0.72311,0.79494
719,0.7380940305320282,0.72692,0.7895
724,0.7337830298726987,0.72732,0.79652
729,0.7363696302682964,0.72476,0.79699
734,0.7358117360653244,0.72263,0.79467
739,0.7350509712430897,0.72386,0.79761
744,0.7343409240756708,0.72281,0.79468
749,0.7323629355378607,0.72143,0.79754
754,0.7363696302682964,0.71982,0.79613
759,0.7380433128772126,0.72248,0.79692
764,0.7361160419942182,0.72775,0.7943
769,0.7376375716386874,0.73387,0.80334
774,0.735152406552721,0.73131,0.8021
779,0.7326672414667545,0.72908,0.80874
784,0.7348988182786428,0.72517,0.80556
789,0.7351016888979054,0.72436,0.80317
794,0.7370289597808998,0.72279,0.78059
799,0.733174418014911,0.7268,0.78643
804,0.7345437946949334,0.72976,0.78967
809,0.7326672414667545,0.73091,0.79399
814,0.7355581477912462,0.72992,0.79418
819,0.7320079119541513,0.72772,0.79003
824,0.7327179591215702,0.72481,0.7908
829,0.7334787239438049,0.7261,0.78552
834,0.7324136531926764,0.7264,0.78819
839,0.7333772886341735,0.72779,0.78648
844,0.7353552771719836,0.73002,0.79193
849,0.731602170715626,0.7309,0.79132
854,0.7348481006238271,0.7256,0.79155
859,0.7311457118222854,0.72775,0.79375
864,0.7330222650504641,0.72625,0.7863
869,0.7295227468681849,0.72678,0.78864
874,0.7328701120860172,0.72899,0.79412
879,0.7326672414667545,0.73098,0.79365
884,0.7296748998326318,0.73142,0.80032
889,0.7294720292133692,0.73116,0.79061
894,0.7287112643911345,0.73078,0.7926
899,0.7310949941674697,0.72942,0.79793
904,0.7327686767763859,0.73222,0.79816
909,0.7302327940356038,0.73257,0.79936
914,0.7290155703200284,0.73358,0.79869
919,0.7303849470000507,0.73219,0.78819
924,0.7301313587259725,0.72954,0.78951
929,0.7290155703200284,0.73228,0.78922
934,0.7316528883704417,0.73284,0.78562
939,0.7300299234163412,0.73577,0.78167
944,0.7296241821778161,0.73571,0.78384
949,0.7289648526652127,0.73502,0.78869
954,0.7278997819140843,0.73454,0.78964
959,0.7271390170918497,0.73549,0.79128
964,0.727088299437034,0.73491,0.79065
969,0.7275954759851905,0.73495,0.7858
974,0.7264289699244307,0.73507,0.78765
979,0.7265811228888777,0.73447,0.7903
984,0.7286098290815033,0.73592,0.78971
989,0.7274433230207435,0.73759,0.79077
994,0.7261246639955369,0.73629,0.78835
999,0.7272911700562966,0.73552,0.79059
