iter,acc,nmi,ari,f1_macro,f1_micro,precision_macro,precision_micro,acc_unconf,nmi_unconf,acc_conf,nmi_conf,nb_unconf,nb_conf,loss_recons,loss_clus,loss,nb_l,nb_f_l,nb_t_l,nb_added_link_unconf_unconf,nb_false_added_link_unconf_unconf,nb_true_added_link_unconf_unconf,nb_deleted_link_unconf_unconf,nb_false_deleted_link_unconf_unconf,nb_true_deleted_link_unconf_unconf
12,0.518796992481203,0.28652528065372973,0.21880573467901548,0.4973570701990795,0.518796992481203,0.5277881331575032,0.518796992481203,0.5272206303724928,0.29766097696929955,0.46,0.18852187963724046,349,50,2.6137922,50.976288,53.59008,0,0,0,0,0,0,0,0,0
13,0.518796992481203,0.28577304116953234,0.20731872738787047,0.504311159706843,0.518796992481203,0.5404091703563331,0.518796992481203,0.5186246418338109,0.2903750334023743,0.52,0.23277228873544564,349,50,2.6463573,50.8409,53.48726,0,0,0,0,0,0,0,0,0
14,0.5263157894736842,0.28775241650979105,0.23140113353462022,0.499989622812379,0.5263157894736842,0.5285531603945927,0.5263157894736842,0.5358166189111748,0.2955878718896161,0.46,0.2346185230006823,349,50,2.6422555,50.702995,53.34525,0,0,0,0,0,0,0,0,0
15,0.49624060150375937,0.2872408367035403,0.2154350668287796,0.4808978606170735,0.49624060150375937,0.5311976809954752,0.49624060150375937,0.5128939828080229,0.3065519883749345,0.44,0.18808255834844453,349,50,2.6171966,49.294044,51.91124,0,0,0,0,0,0,0,0,0
16,0.5162907268170426,0.2826700759575019,0.21545392972045382,0.4937586869390761,0.5162907268170426,0.530251456072502,0.5162907268170426,0.5186246418338109,0.293605489894865,0.5,0.2090329004989876,349,50,2.6315808,49.24348,51.87506,0,0,0,0,0,0,0,0,0
17,0.518796992481203,0.26264964906283056,0.20229925338067178,0.4984077815523373,0.518796992481203,0.5317447982037765,0.518796992481203,0.5300859598853869,0.2787142159677291,0.48,0.18068240059987556,349,50,2.6441388,49.43168,52.075817,0,0,0,0,0,0,0,0,0
18,0.531328320802005,0.30118415603856696,0.23630125623747125,0.5013385589473387,0.531328320802005,0.5294279222273355,0.531328320802005,0.5495750708215298,0.31754251375118775,0.5,0.25834139017006474,353,46,2.6278336,50.75866,53.386494,0,0,0,0,0,0,0,0,0
19,0.5413533834586466,0.3125795447127717,0.24824901720312237,0.5116646848217007,0.5413533834586466,0.5512012185345518,0.5413533834586466,0.5609065155807366,0.32305987509466516,0.5652173913043478,0.2314418170054595,353,46,2.615161,50.434223,53.049385,0,0,0,0,0,0,0,0,0
20,0.5238095238095238,0.2965735141496679,0.22971962299135176,0.5013267349159042,0.5238095238095238,0.5349892627241857,0.5238095238095238,0.5295774647887324,0.30350981322853754,0.4772727272727273,0.24526098051669865,355,44,2.6434407,50.475704,53.119144,0,0,0,0,0,0,0,0,0
21,0.5162907268170426,0.29675902469073134,0.22852489844111873,0.4900452529908652,0.5162907268170426,0.5157768319394663,0.5162907268170426,0.5380281690140845,0.30915507658660935,0.4318181818181818,0.1876390512041371,355,44,2.596037,50.536934,53.132973,0,0,0,0,0,0,0,0,0
