iter,acc,nmi,ari,f1_macro,f1_micro,precision_macro,precision_micro,acc_unconf,nmi_unconf,acc_conf,nmi_conf,nb_unconf,nb_conf,loss_recons,loss_clus,loss,nb_l,nb_f_l,nb_t_l,nb_added_link_unconf_unconf,nb_false_added_link_unconf_unconf,nb_true_added_link_unconf_unconf,nb_deleted_link_unconf_unconf,nb_false_deleted_link_unconf_unconf,nb_true_deleted_link_unconf_unconf
12,0.6663660955816051,0.3910250636558103,0.40993616992271786,0.6204698806098065,0.6663660955816051,0.6216489074993691,0.6663660955816051,0.7747489239598279,0.5511573144891166,0.4830097087378641,0.2006296454237855,2091,1236,17.609312,5.384547,22.993858,0,0,0,0,0,0,0,0,0
13,0.6717763751127142,0.4004539218899389,0.41756970604858,0.6264147036273787,0.6717763751127142,0.6274499845373428,0.6717763751127142,0.7772045028142589,0.561141767517797,0.48368200836820086,0.19677986363277458,2132,1195,17.622961,5.2041426,22.827103,0,0,0,0,0,0,0,0,0
14,0.6696723775172828,0.3984683693071002,0.4150238256774481,0.6233390640844118,0.6696723775172828,0.6239761671448878,0.6696723775172828,0.7726001863932899,0.5483479205302934,0.4826418289585097,0.20597445026137431,2146,1181,17.647123,5.0824,22.729523,0,0,0,0,0,0,0,0,0
15,0.6717763751127142,0.4033924598448138,0.4215603603371863,0.6249509169643137,0.6717763751127142,0.6261855674646313,0.6717763751127142,0.7783857729138167,0.5556651563021899,0.4656084656084656,0.19865434522564157,2193,1134,17.622423,4.938103,22.560526,0,0,0,0,0,0,0,0,0
16,0.6699729486023445,0.39923842043556657,0.4154841341970886,0.6242280545841364,0.6699729486023445,0.6251861511521455,0.6699729486023445,0.7717244484466457,0.5466353971341189,0.4656419529837251,0.19178495065211257,2221,1106,17.612438,4.844256,22.456694,0,0,0,0,0,0,0,0,0
17,0.6663660955816051,0.3931380754102056,0.4093277394493797,0.6207835759954049,0.6663660955816051,0.621891576628621,0.6663660955816051,0.7768888888888889,0.5539509647524604,0.43546889507892295,0.16571254988318043,2250,1077,17.579672,4.782607,22.362278,0,0,0,0,0,0,0,0,0
18,0.6762849413886384,0.4083440544407326,0.4266378412303105,0.6292489653651976,0.6762849413886384,0.630037852467975,0.6762849413886384,0.7647820457488131,0.5366883189692678,0.47326732673267324,0.2012622054933969,2317,1010,17.499708,4.793027,22.292736,0,0,0,0,0,0,0,0,0
19,0.6735798016230838,0.4028448077103253,0.419712059473615,0.6273631179575961,0.6735798016230838,0.6286324410270393,0.6735798016230838,0.7702818104184458,0.5410231070695201,0.4436548223350254,0.17330095709309337,2342,985,17.455585,4.7457724,22.201359,0,0,0,0,0,0,0,0,0
20,0.6807935076645627,0.41152375981243305,0.4305244471583876,0.6358486882620435,0.6807935076645627,0.6371976085695604,0.6807935076645627,0.765625,0.5345860240431619,0.47132429614181437,0.19474113730118142,2368,959,17.374573,4.7324667,22.10704,0,0,0,0,0,0,0,0,0
21,0.6792906522392546,0.41158090765468186,0.4294008311103447,0.6322672659725829,0.6792906522392546,0.6334873734124464,0.6792906522392546,0.7639358108108109,0.5341992968437643,0.470281543274244,0.1955277936110562,2368,959,17.28637,4.8039675,22.090336,0,0,0,0,0,0,0,0,0
22,0.6807935076645627,0.4100893427723511,0.43097434332947976,0.6341860887214995,0.6807935076645627,0.6355190879952745,0.6807935076645627,0.7649750415973378,0.532813233726827,0.46153846153846156,0.18135821377807998,2404,923,17.221287,4.7466373,21.967924,0,0,0,0,0,0,0,0,0
23,0.6771866546438232,0.40954893469938464,0.4283775999132149,0.6306071645006228,0.6771866546438232,0.631944956593382,0.6771866546438232,0.7693885925318014,0.5381585145537252,0.4247191011235955,0.1676140598033369,2437,890,17.148153,4.7625065,21.91066,0,0,0,0,0,0,0,0,0
24,0.6786895100691314,0.40991453179454135,0.4292619956996813,0.6324394369462274,0.6786895100691314,0.6333636036089735,0.6786895100691314,0.7656955272876488,0.5331712103846097,0.4404494382022472,0.1776875399401561,2437,890,17.088617,4.8040514,21.89267,0,0,0,0,0,0,0,0,0
25,0.6840997896002404,0.41671375961394397,0.4358932340407825,0.6398706605285784,0.6840997896002404,0.6416728413591455,0.6840997896002404,0.7689782519491177,0.5371726909419703,0.451685393258427,0.1889985324690629,2437,890,17.031065,4.820012,21.851078,0,0,0,0,0,0,0,0,0
26,0.6798917944093779,0.41028417291196145,0.430528151116585,0.6333851213993824,0.6798917944093779,0.6341257265330061,0.6798917944093779,0.766721044045677,0.5376468987074209,0.43657142857142855,0.16545714103665538,2452,875,16.975574,4.7532187,21.728794,0,0,0,0,0,0,0,0,0
27,0.6777877968139465,0.41171557982041246,0.42866049325974787,0.6308648082041026,0.6777877968139465,0.6323160595846472,0.6777877968139465,0.7654975530179445,0.5367043196501364,0.432,0.1734186767825386,2452,875,16.938177,4.8081856,21.746363,0,0,0,0,0,0,0,0,0
28,0.6792906522392546,0.4124494789147496,0.43135919442722065,0.6312715183680053,0.6792906522392546,0.6330621714401906,0.6792906522392546,0.7610088070456366,0.5270329480169913,0.4330518697225573,0.17980689587873336,2498,829,16.879477,4.738595,21.618073,0,0,0,0,0,0,0,0,0
29,0.6825969341749324,0.41721403098200927,0.43590106124477734,0.635422410587933,0.6825969341749324,0.6373328153473474,0.6825969341749324,0.7618094475580465,0.5284540728311865,0.4439083232810615,0.19087888243597026,2498,829,16.844545,4.803748,21.648293,0,0,0,0,0,0,0,0,0
30,0.6816952209197475,0.41498299017654317,0.4334613757634816,0.6348190324331762,0.6816952209197475,0.6366435602697157,0.6816952209197475,0.7618094475580465,0.5284623332153234,0.44028950542822676,0.18677751992507713,2498,829,16.790281,4.7746935,21.564976,0,0,0,0,0,0,0,0,0
31,0.678990081154193,0.41092069404193393,0.42961564918773154,0.6323223719297467,0.678990081154193,0.6342557448719965,0.678990081154193,0.7617717478052674,0.5305643162725333,0.42630937880633374,0.1667387659467821,2506,821,16.797966,4.6565437,21.45451,0,0,0,0,0,0,0,0,0
