iter,acc,delta_fr,delta_fr_new
269,0.6741809437932071,0.66518,0.67469
274,0.6747820859633303,0.6757,0.6974
279,0.6801923654944394,0.66526,0.69
284,0.6786895100691314,0.64848,0.67461
289,0.6771866546438232,0.65121,0.66537
294,0.6747820859633303,0.63089,0.65992
299,0.6759843703035768,0.65335,0.65278
304,0.6810940787496242,0.65065,0.64473
309,0.6777877968139465,0.65481,0.66597
314,0.6783889389840697,0.66103,0.69712
319,0.6747820859633303,0.65121,0.7096
324,0.6795912233243162,0.63661,0.685
329,0.6744815148782687,0.63258,0.66604
334,0.6774872257288849,0.63578,0.62181
339,0.6753832281334535,0.61918,0.65978
344,0.6741809437932071,0.64741,0.68145
349,0.680492936579501,0.6485,0.69228
354,0.6807935076645627,0.66939,0.68259
359,0.6732792305380222,0.65362,0.64654
364,0.6756837992185152,0.64788,0.67388
369,0.6765855124737,0.6354,0.64065
374,0.6759843703035768,0.63019,0.6267
379,0.6756837992185152,0.59556,0.63686
384,0.6744815148782687,0.62549,0.64699
389,0.6729786594529606,0.67102,0.65771
394,0.678990081154193,0.65107,0.67273
399,0.6735798016230838,0.64841,0.66994
404,0.6765855124737,0.63369,0.64705
409,0.675082657048392,0.63894,0.62558
414,0.6798917944093779,0.5991,0.62706
419,0.675082657048392,0.62109,0.63177
424,0.672678088367899,0.60804,0.62565
429,0.6756837992185152,0.61725,0.61872
434,0.6783889389840697,0.61553,0.62872
439,0.6798917944093779,0.62186,0.6497
444,0.6747820859633303,0.62942,0.65139
449,0.6771866546438232,0.63993,0.6428
454,0.6777877968139465,0.62642,0.64238
459,0.6753832281334535,0.6441,0.664
464,0.6786895100691314,0.63231,0.64841
469,0.6759843703035768,0.60117,0.6395
474,0.6816952209197475,0.59561,0.6225
479,0.6735798016230838,0.60378,0.61607
484,0.6774872257288849,0.60131,0.59002
489,0.6741809437932071,0.62553,0.63099
494,0.6780883678990082,0.60753,0.63012
499,0.6780883678990082,0.62294,0.62286
504,0.6753832281334535,0.61924,0.6602
509,0.6774872257288849,0.61538,0.6334
514,0.6744815148782687,0.60196,0.61622
519,0.6762849413886384,0.60049,0.62122
524,0.6741809437932071,0.62755,0.62876
529,0.6744815148782687,0.63144,0.65283
534,0.6765855124737,0.6337,0.65555
539,0.680492936579501,0.63978,0.66355
544,0.6744815148782687,0.64677,0.62267
549,0.6732792305380222,0.62632,0.61529
554,0.6774872257288849,0.57811,0.61879
559,0.6771866546438232,0.61254,0.6055
564,0.6753832281334535,0.59264,0.60798
569,0.6768860835587617,0.62744,0.63031
574,0.6798917944093779,0.63272,0.64799
579,0.6735798016230838,0.64296,0.65154
584,0.6762849413886384,0.63635,0.66472
589,0.6771866546438232,0.63491,0.62872
594,0.678990081154193,0.64289,0.64857
599,0.6756837992185152,0.6269,0.64964
604,0.6783889389840697,0.61554,0.60597
609,0.6810940787496242,0.61254,0.63744
614,0.6798917944093779,0.60862,0.61953
619,0.6765855124737,0.6063,0.61282
624,0.6762849413886384,0.64039,0.62223
629,0.6786895100691314,0.64193,0.62708
634,0.6810940787496242,0.62283,0.62551
639,0.6771866546438232,0.62082,0.61246
644,0.675082657048392,0.6265,0.60265
649,0.6777877968139465,0.61485,0.62534
654,0.6765855124737,0.62936,0.65982
659,0.6768860835587617,0.65158,0.61176
664,0.6768860835587617,0.63485,0.60881
669,0.6798917944093779,0.62147,0.64761
674,0.6780883678990082,0.61015,0.61273
679,0.675082657048392,0.60396,0.61702
684,0.6801923654944394,0.61849,0.62025
689,0.6747820859633303,0.61073,0.6158
694,0.6777877968139465,0.61812,0.60314
699,0.6735798016230838,0.60613,0.61112
704,0.6741809437932071,0.58879,0.61282
709,0.6762849413886384,0.59492,0.62038
714,0.6729786594529606,0.62914,0.63601
719,0.6762849413886384,0.63781,0.62607
724,0.6762849413886384,0.64128,0.64497
729,0.6786895100691314,0.65922,0.64597
734,0.6777877968139465,0.62384,0.6313
739,0.6729786594529606,0.626,0.63846
744,0.675082657048392,0.61726,0.60651
749,0.6786895100691314,0.58667,0.59673
754,0.6753832281334535,0.5971,0.61543
759,0.6774872257288849,0.60736,0.60054
764,0.6762849413886384,0.61533,0.58185
769,0.6771866546438232,0.62545,0.61091
774,0.6795912233243162,0.64788,0.63206
779,0.678990081154193,0.65159,0.63648
784,0.6768860835587617,0.64944,0.61534
789,0.6741809437932071,0.61666,0.63325
794,0.6762849413886384,0.62436,0.61788
799,0.6798917944093779,0.60099,0.58346
804,0.6765855124737,0.59424,0.62552
809,0.6756837992185152,0.59823,0.59725
814,0.6756837992185152,0.59956,0.60037
819,0.6759843703035768,0.63407,0.62759
824,0.6768860835587617,0.62954,0.63185
829,0.6780883678990082,0.64148,0.63389
834,0.6759843703035768,0.64133,0.63402
839,0.6768860835587617,0.65788,0.6344
844,0.6786895100691314,0.62844,0.62306
849,0.6753832281334535,0.60947,0.62128
854,0.6798917944093779,0.60235,0.58336
859,0.6723775172828373,0.61504,0.58011
864,0.6798917944093779,0.60855,0.61667
869,0.6771866546438232,0.59595,0.61042
874,0.6777877968139465,0.61914,0.60378
879,0.6780883678990082,0.63562,0.61642
884,0.6771866546438232,0.63115,0.62932
889,0.6753832281334535,0.62686,0.61065
894,0.6771866546438232,0.6368,0.64512
899,0.6756837992185152,0.645,0.62356
904,0.6774872257288849,0.62953,0.62002
909,0.6786895100691314,0.60651,0.60606
914,0.6768860835587617,0.61202,0.62124
919,0.6762849413886384,0.62367,0.61913
924,0.6786895100691314,0.63103,0.61902
929,0.6774872257288849,0.63443,0.63548
934,0.6741809437932071,0.62209,0.63673
939,0.6759843703035768,0.63032,0.61844
944,0.6753832281334535,0.62447,0.62528
949,0.6747820859633303,0.65115,0.62298
954,0.6780883678990082,0.61569,0.6349
959,0.6765855124737,0.63466,0.61728
964,0.6744815148782687,0.60941,0.61636
969,0.6783889389840697,0.62871,0.62358
974,0.680492936579501,0.62762,0.63938
979,0.675082657048392,0.63064,0.63066
984,0.6774872257288849,0.63053,0.63777
989,0.6747820859633303,0.6346,0.62962
994,0.6762849413886384,0.6295,0.62561
999,0.680492936579501,0.62741,0.61668
